NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
300604,786449,767448,832419,824938,863967,0.001621341,0.001907898,0.001912689,0.001929854,0.014793798,US,2.616229325,2.55301992,2.769154768,2.744268207,2.874103472,2.62875E-06,3.64008E-06,3.65838E-06,3.72434E-06,0.000218856
43441,112473,116041,118703,115743,125153,0.003173803,0.005175184,0.003974448,0.00366989,0.033558011,GB,2.589097857,2.671232246,2.732510762,2.664372367,2.880988007,1.0073E-05,2.67825E-05,1.57962E-05,1.34681E-05,0.00112614
38353,100410,98779,106260,104581,110246,0.002673915,0.002634282,0.003024875,0.003357061,0.023107791,CA,2.618048132,2.575522123,2.770578573,2.726801033,2.874507861,7.14982E-06,6.93944E-06,9.14987E-06,1.12699E-05,0.00053397
30407,79628,78536,84423,81734,87245,0.001911465,0.002136092,0.002218312,0.002325528,0.016321121,AU,2.618739106,2.582826323,2.776433058,2.687999474,2.869240635,3.6537E-06,4.56289E-06,4.92091E-06,5.40808E-06,0.000266379
10898,27365,27885,29311,29442,31584,0.002481417,0.00354593,0.003015509,0.00293567,0.025682298,DE,2.511011195,2.558726372,2.689576069,2.701596623,2.898146449,6.15743E-06,1.25736E-05,9.09329E-06,8.61816E-06,0.00065958
9850,26450,26702,28389,26495,27539,0.002525129,0.004076556,0.004922327,0.002787085,0.02427353,IN,2.685279188,2.710862944,2.88213198,2.689847716,2.795837563,6.37628E-06,1.66183E-05,2.42293E-05,7.76784E-06,0.000589204
9474,25392,26807,27437,26841,26395,0.002344558,0.002838594,0.00304972,0.003079278,0.015877758,PH,2.680177327,2.82953346,2.896031243,2.833122229,2.786046021,5.49695E-06,8.05762E-06,9.30079E-06,9.48195E-06,0.000252103
8311,21516,22870,23232,23483,23983,0.000610108,0.000784597,0.00088929,0.001379061,0.009551143,MX,2.58885814,2.751774756,2.795331488,2.825532427,2.885693659,3.72232E-07,6.15592E-07,7.90837E-07,1.90181E-06,9.12243E-05
7312,18908,18567,19843,19537,21113,0.001087403,0.000934209,0.000783751,0.000644235,0.005784434,NO,2.585886214,2.539250547,2.713758206,2.67190919,2.887445295,1.18244E-06,8.72746E-07,6.14265E-07,4.15038E-07,3.34597E-05
6913,18007,17275,19047,18493,19957,0.004318576,0.004046586,0.004460359,0.003166956,0.03208478,NL,2.604802546,2.498915088,2.755243744,2.675104875,2.886879792,1.86501E-05,1.63749E-05,1.98948E-05,1.00296E-05,0.001029433
6530,16470,16326,17427,17230,18944,0.005034462,0.006892327,0.007039363,0.006435901,0.046756012,SE,2.522205207,2.500153139,2.668759571,2.638591118,2.901071975,2.53458E-05,4.75042E-05,4.95526E-05,4.14208E-05,0.002186125
6330,17095,17826,18468,16898,17216,0.001968715,0.00331174,0.002972033,0.00223574,0.018614315,MY,2.700631912,2.816113744,2.917535545,2.669510269,2.719747235,3.87584E-06,1.09676E-05,8.83298E-06,4.99853E-06,0.000346493
5754,15043,14809,15852,15399,16462,0.00134017,0.000962976,0.000999479,0.001755606,0.010985573,NZ,2.614355231,2.573687869,2.754953076,2.676225235,2.860966284,1.79606E-06,9.27322E-07,9.98957E-07,3.08215E-06,0.000120683
4930,13160,13726,14141,13787,13964,0.001134104,0.002038953,0.001517549,0.000781091,0.007175898,ID,2.669371197,2.784178499,2.868356998,2.796551724,2.832454361,1.28619E-06,4.15733E-06,2.30296E-06,6.10104E-07,5.14935E-05
4802,12854,12768,13735,12714,13356,0.002114143,0.003974172,0.002511977,0.002328682,0.017269319,SG,2.676801333,2.658892128,2.860266556,2.647646814,2.781341108,4.4696E-06,1.5794E-05,6.31003E-06,5.42276E-06,0.000298229
4767,12167,12752,12543,13017,13812,0.001403693,0.002643726,0.00118548,0.001540076,0.015480487,BR,2.552338997,2.675057688,2.6312146,2.730648206,2.897419761,1.97035E-06,6.98929E-06,1.40536E-06,2.37183E-06,0.000239645
4499,11582,12058,12114,12046,13143,0.005971543,0.007996888,0.007303246,0.007476656,0.056983104,FR,2.574349856,2.680151145,2.692598355,2.677483885,2.921315848,3.56593E-05,6.39502E-05,5.33374E-05,5.59004E-05,0.003247074
3814,9675,10262,10304,10475,10978,0.001683714,0.003015998,0.001809599,0.00196171,0.014875426,IT,2.536706869,2.690613529,2.70162559,2.746460409,2.878342947,2.83489E-06,9.09624E-06,3.27465E-06,3.84831E-06,0.000221278
